                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4838,                 1.1926,                 1.3008,                0.55757,                0.45633,                0.47709,                0.29392,                  1.365,                 1.0485,                 1.2394,               0.007822,               0.007822,               0.007822
                     36,                  1.486,                 1.1983,                 1.2949,                0.57148,                0.46126,                0.48438,                0.29633,                 1.3559,                  1.042,                 1.2341,               0.007756,               0.007756,               0.007756
                     37,                 1.4907,                 1.2011,                 1.2963,                0.56936,                0.45556,                0.48011,                0.29663,                 1.3529,                 1.0391,                 1.2341,                0.00769,                0.00769,                0.00769
                     38,                 1.4761,                 1.1868,                 1.2884,                0.56527,                0.46112,                0.48199,                0.29676,                 1.3504,                 1.0416,                 1.2312,               0.007624,               0.007624,               0.007624
                     39,                 1.4748,                 1.1813,                 1.2876,                0.56328,                0.46186,                0.48152,                0.29649,                 1.3496,                   1.04,                 1.2289,               0.007558,               0.007558,               0.007558
                     40,                 1.4736,                  1.182,                 1.2885,                0.57584,                 0.4561,                0.48489,                0.29856,                 1.3485,                 1.0343,                 1.2279,               0.007492,               0.007492,               0.007492
                     41,                 1.4747,                 1.1743,                  1.289,                0.57468,                0.46201,                0.48889,                0.30016,                 1.3508,                 1.0273,                 1.2268,               0.007426,               0.007426,               0.007426
                     42,                 1.4696,                 1.1744,                 1.2846,                0.57518,                 0.4606,                0.48797,                0.30104,                 1.3458,                  1.033,                 1.2248,                0.00736,                0.00736,                0.00736
                     43,                 1.4667,                 1.1682,                 1.2796,                0.56279,                0.46975,                0.49037,                0.30365,                 1.3437,                  1.028,                 1.2226,               0.007294,               0.007294,               0.007294
                     44,                 1.4615,                 1.1567,                 1.2752,                0.58203,                0.46666,                 0.4901,                0.30304,                 1.3435,                 1.0256,                 1.2232,               0.007228,               0.007228,               0.007228
                     45,                 1.4633,                 1.1668,                 1.2847,                0.55911,                0.47764,                0.49078,                0.30289,                 1.3435,                 1.0238,                 1.2209,               0.007162,               0.007162,               0.007162
                     46,                 1.4589,                 1.1583,                 1.2731,                0.57601,                0.47298,                 0.4917,                0.30377,                 1.3459,                   1.02,                 1.2215,               0.007096,               0.007096,               0.007096
                     47,                 1.4638,                 1.1655,                 1.2736,                0.57441,                0.46998,                0.49427,                 0.3045,                 1.3475,                 1.0213,                 1.2212,                0.00703,                0.00703,                0.00703
                     48,                 1.4565,                 1.1569,                 1.2695,                0.56765,                0.47836,                0.49625,                0.30591,                 1.3434,                 1.0158,                 1.2204,               0.006964,               0.006964,               0.006964
                     49,                  1.457,                 1.1548,                 1.2694,                 0.5818,                 0.4727,                 0.4951,                 0.3065,                 1.3466,                 1.0148,                 1.2199,               0.006898,               0.006898,               0.006898
                     50,                 1.4498,                 1.1465,                 1.2661,                0.57341,                0.47445,                0.49793,                0.30741,                 1.3434,                 1.0081,                 1.2172,               0.006832,               0.006832,               0.006832
                     51,                 1.4547,                 1.1448,                 1.2671,                0.57006,                0.47654,                0.49752,                0.30837,                 1.3382,                 1.0067,                 1.2169,               0.006766,               0.006766,               0.006766
                     52,                  1.455,                 1.1438,                 1.2627,                0.57203,                0.47369,                0.49626,                0.30831,                 1.3395,                 1.0115,                 1.2146,                 0.0067,                 0.0067,                 0.0067
                     53,                 1.4457,                 1.1348,                 1.2628,                0.57912,                0.47411,                0.49767,                 0.3092,                 1.3359,                 1.0058,                 1.2131,               0.006634,               0.006634,               0.006634
                     54,                 1.4494,                 1.1329,                  1.261,                0.58333,                0.47277,                0.49963,                0.30959,                 1.3391,                 1.0079,                 1.2132,               0.006568,               0.006568,               0.006568
                     55,                 1.4484,                 1.1352,                 1.2647,                0.57884,                0.47414,                0.49758,                0.30829,                 1.3403,                 1.0053,                  1.213,               0.006502,               0.006502,               0.006502
                     56,                 1.4416,                 1.1341,                 1.2585,                 0.5804,                 0.4765,                0.50015,                0.30911,                 1.3411,                  1.005,                 1.2134,               0.006436,               0.006436,               0.006436
                     57,                 1.4426,                 1.1298,                 1.2616,                0.57217,                0.48406,                0.50283,                0.31132,                  1.334,                0.99834,                 1.2102,                0.00637,                0.00637,                0.00637
                     58,                 1.4366,                 1.1205,                 1.2561,                0.59513,                0.47298,                0.50363,                0.31245,                 1.3354,                 0.9998,                 1.2098,               0.006304,               0.006304,               0.006304
                     59,                 1.4432,                 1.1276,                 1.2569,                0.58434,                0.48605,                0.50504,                0.31336,                 1.3342,                0.99881,                 1.2091,               0.006238,               0.006238,               0.006238
                     60,                 1.4383,                 1.1226,                 1.2551,                0.57966,                0.48333,                0.50412,                0.31332,                 1.3316,                0.99645,                 1.2079,               0.006172,               0.006172,               0.006172
                     61,                 1.4332,                 1.1164,                 1.2539,                0.58846,                0.48269,                0.50458,                0.31355,                 1.3319,                0.99466,                 1.2089,               0.006106,               0.006106,               0.006106
                     62,                  1.434,                 1.1126,                 1.2462,                 0.5855,                0.48816,                0.50882,                0.31496,                 1.3332,                0.99349,                 1.2086,                0.00604,                0.00604,                0.00604
                     63,                 1.4248,                 1.1069,                 1.2519,                0.59866,                0.47793,                0.50897,                0.31673,                 1.3312,                0.99269,                 1.2061,               0.005974,               0.005974,               0.005974
                     64,                 1.4313,                  1.107,                 1.2498,                0.58551,                0.48203,                0.50723,                0.31411,                 1.3329,                0.99377,                 1.2062,               0.005908,               0.005908,               0.005908
                     65,                  1.424,                 1.1034,                 1.2445,                0.59447,                0.48155,                0.50846,                0.31586,                 1.3309,                0.99192,                 1.2043,               0.005842,               0.005842,               0.005842
                     66,                 1.4308,                 1.1063,                 1.2481,                0.58325,                0.48944,                0.50749,                0.31517,                 1.3319,                0.99304,                 1.2054,               0.005776,               0.005776,               0.005776
                     67,                 1.4216,                 1.0978,                 1.2469,                0.58796,                0.48393,                0.50836,                0.31492,                 1.3335,                0.98977,                 1.2063,                0.00571,                0.00571,                0.00571
                     68,                 1.4265,                 1.0993,                 1.2463,                0.58295,                 0.4875,                0.50995,                0.31524,                 1.3326,                0.98825,                 1.2045,               0.005644,               0.005644,               0.005644
                     69,                   1.43,                 1.1075,                  1.248,                0.58872,                0.48278,                0.50964,                0.31647,                 1.3283,                0.98574,                 1.2034,               0.005578,               0.005578,               0.005578
                     70,                 1.4243,                 1.0981,                 1.2409,                0.58179,                0.49038,                0.51128,                0.31794,                 1.3297,                0.98542,                 1.2026,               0.005512,               0.005512,               0.005512
                     71,                 1.4237,                 1.0965,                 1.2443,                0.58601,                0.48813,                0.51191,                 0.3183,                 1.3279,                 0.9854,                 1.2021,               0.005446,               0.005446,               0.005446
                     72,                 1.4148,                 1.0869,                 1.2368,                0.58918,                0.48773,                0.51113,                0.31709,                 1.3277,                0.98699,                 1.1995,                0.00538,                0.00538,                0.00538
